stamp,batch,case_id,coord,coord_value,status,last_step,total_steps,last_val_loss,failure_kind,hardware_family,gpuv,matrix_lr_mult,precond_lr_mult,matrix_beta1_om_mult,aux_lr_mult,aux_beta1_om_mult,aux_beta2_om_mult,aux_cooldown_frac,hidden_cooldown_frac
pretraining_psgdh_pcd_512k_r1_ladder_20260828_1232,512k,0004_psgdh_core_512k_matrix_lr_2,matrix_lr,1.41421356237,DONE,3250,3250,3.28248,,H20,NVIDIA_H20,1.41421356237,1,2,1.41421356237,1,0.5,0.5,1
pretraining_psgdh_pcd_512k_r1_recovery4_ladder_20260828_1524,512k,0005_psgdh_core_512k_precond_lr_0p5,precond_lr,0.5,DONE,3250,3250,3.28377,,H20,NVIDIA_H20,0.707106781187,0.5,2,1.41421356237,1,0.5,0.5,1
pretraining_psgdh_pcd_512k_r1_ladder_20260828_1232,512k,0006_psgdh_core_512k_precond_lr_0p707106781187,precond_lr,0.707106781187,DONE,3250,3250,3.28345,,H20,NVIDIA_H20,0.707106781187,0.707106781187,2,1.41421356237,1,0.5,0.5,1
pretraining_psgdh_pcd_512k_r1_recovery4_ladder_20260828_1524,512k,0007_psgdh_core_512k_precond_lr_1p41421356237,precond_lr,1.41421356237,DONE,3250,3250,3.2865,,H20,NVIDIA_H20,0.707106781187,1.41421356237,2,1.41421356237,1,0.5,0.5,1
pretraining_psgdh_pcd_512k_r1_ladder_20260828_1232,512k,0008_psgdh_core_512k_precond_lr_2,precond_lr,2,DONE,3250,3250,3.29055,,H20,NVIDIA_H20,0.707106781187,2,2,1.41421356237,1,0.5,0.5,1
pretraining_psgdh_pcd_512k_r1_ladder_20260828_1232,512k,0009_psgdh_core_512k_matrix_beta1_om_0p5,matrix_beta1_om,1,DONE,3250,3250,3.27762,,H20,NVIDIA_H20,0.707106781187,1,1,1.41421356237,1,0.5,0.5,1
pretraining_psgdh_pcd_512k_r1_ladder_20260828_1232,512k,0010_psgdh_core_512k_matrix_beta1_om_0p707106781187,matrix_beta1_om,1.41421356237,DONE,3250,3250,3.27968,,H20,NVIDIA_H20,0.707106781187,1,1.41421356237,1.41421356237,1,0.5,0.5,1
pretraining_psgdh_pcd_512k_r1_ladder_20260828_1232,512k,0011_psgdh_core_512k_matrix_beta1_om_1p41421356237,matrix_beta1_om,2.82842712475,DONE,3250,3250,3.2931,,H20,NVIDIA_H20,0.707106781187,1,2.82842712475,1.41421356237,1,0.5,0.5,1
pretraining_psgdh_pcd_512k_r1_ladder_20260828_1232,512k,0012_psgdh_core_512k_matrix_beta1_om_2,matrix_beta1_om,4,DONE,3250,3250,3.30575,,H20,NVIDIA_H20,0.707106781187,1,4,1.41421356237,1,0.5,0.5,1
pretraining_psgdh_pcd_512k_r1_ladder_20260828_1232,512k,0013_psgdh_core_512k_aux_lr_global_0p5,aux_lr_global,0.707106781185,DONE,3250,3250,3.28886,,H20,NVIDIA_H20,0.707106781187,1,2,0.707106781185,1,0.5,0.5,1
pretraining_psgdh_pcd_512k_r1_ladder_20260828_1232,512k,0014_psgdh_core_512k_aux_lr_global_0p707106781187,aux_lr_global,0.999999999998,DONE,3250,3250,3.28483,,H20,NVIDIA_H20,0.707106781187,1,2,0.999999999998,1,0.5,0.5,1
