stamp,batch,case_id,coord,coord_value,status,last_step,total_steps,last_val_loss,failure_kind,hardware_family,gpuv,matrix_lr_mult,precond_lr_mult,matrix_beta1_om_mult,aux_lr_mult,aux_beta1_om_mult,aux_beta2_om_mult,aux_cooldown_frac,hidden_cooldown_frac
pretraining_psgdh_pcd_1m_r1_confirm_20260828_1320,1m,0016_psgdh_core_1m_aux_lr_global_2,aux_lr_global,2,DONE,1625,1625,3.30732,,H20,NVIDIA_H20,1,1,1,2,1,1,0.5,1
pretraining_psgdh_pcd_1m_r1_confirm_20260828_1320,1m,0017_psgdh_core_1m_aux_beta1_om_0p5,aux_beta1_om,0.5,DONE,1625,1625,3.30698,,H20,NVIDIA_H20,1,1,1,1,0.5,1,0.5,1
pretraining_psgdh_pcd_1m_r1_confirm_20260828_1320,1m,0018_psgdh_core_1m_aux_beta1_om_0p707106781187,aux_beta1_om,0.707106781187,DONE,1625,1625,3.30529,,H20,NVIDIA_H20,1,1,1,1,0.707106781187,1,0.5,1
pretraining_psgdh_pcd_1m_r1_confirm_20260828_1320,1m,0019_psgdh_core_1m_aux_beta1_om_1p41421356237,aux_beta1_om,1.41421356237,DONE,1625,1625,3.30739,,H20,NVIDIA_H20,1,1,1,1,1.41421356237,1,0.5,1
pretraining_psgdh_pcd_1m_r1_confirm_20260828_1320,1m,0020_psgdh_core_1m_aux_beta1_om_2,aux_beta1_om,2,DONE,1625,1625,3.31228,,H20,NVIDIA_H20,1,1,1,1,2,1,0.5,1
pretraining_psgdh_pcd_1m_r1_confirm_20260828_1320,1m,0021_psgdh_core_1m_aux_beta2_om_0p5,aux_beta2_om,0.5,DONE,1625,1625,3.30314,,H20,NVIDIA_H20,1,1,1,1,1,0.5,0.5,1
pretraining_psgdh_pcd_1m_r1_confirm_20260828_1320,1m,0022_psgdh_core_1m_aux_beta2_om_0p707106781187,aux_beta2_om,0.707106781187,DONE,1625,1625,3.30424,,H20,NVIDIA_H20,1,1,1,1,1,0.707106781187,0.5,1
pretraining_psgdh_pcd_1m_r1_confirm_20260828_1320,1m,0023_psgdh_core_1m_aux_beta2_om_1p41421356237,aux_beta2_om,1.41421356237,DONE,1625,1625,3.30635,,H20,NVIDIA_H20,1,1,1,1,1,1.41421356237,0.5,1
pretraining_psgdh_pcd_1m_r1_confirm_20260828_1320,1m,0024_psgdh_core_1m_aux_beta2_om_2,aux_beta2_om,2,DONE,1625,1625,3.30605,,H20,NVIDIA_H20,1,1,1,1,1,2,0.5,1
pretraining_psgdh_pcd_1m_r1_confirm_20260828_1320,1m,0025_psgdh_core_1m_aux_cooldown_frac_0,aux_cooldown_frac,0,DONE,1625,1625,3.33174,,H20,NVIDIA_H20,1,1,1,1,1,1,0,1
pretraining_psgdh_pcd_1m_r1_confirm_20260828_1320,1m,0026_psgdh_core_1m_aux_cooldown_frac_0p2,aux_cooldown_frac,0.2,DONE,1625,1625,3.30652,,H20,NVIDIA_H20,1,1,1,1,1,1,0.2,1
pretraining_psgdh_pcd_1m_r1_confirm_20260828_1320,1m,0027_psgdh_core_1m_aux_cooldown_frac_0p4,aux_cooldown_frac,0.4,DONE,1625,1625,3.30454,,H20,NVIDIA_H20,1,1,1,1,1,1,0.4,1
pretraining_psgdh_pcd_1m_r1_confirm_20260828_1320,1m,0028_psgdh_core_1m_aux_cooldown_frac_0p6,aux_cooldown_frac,0.6,DONE,1625,1625,3.30604,,H20,NVIDIA_H20,1,1,1,1,1,1,0.6,1
pretraining_psgdh_pcd_1m_r1_confirm_20260828_1320,1m,0029_psgdh_core_1m_aux_cooldown_frac_0p8,aux_cooldown_frac,0.8,DONE,1625,1625,3.30882,,H20,NVIDIA_H20,1,1,1,1,1,1,0.8,1
pretraining_psgdh_pcd_1m_r1_confirm_20260828_1320,1m,0030_psgdh_core_1m_matrix_cooldown_frac_0p6,matrix_cooldown_frac,0.6,DONE,1625,1625,3.31897,,H20,NVIDIA_H20,1,1,1,1,1,1,0.5,0.6
pretraining_psgdh_pcd_1m_r1_confirm_20260828_1320,1m,0031_psgdh_core_1m_matrix_cooldown_frac_0p8,matrix_cooldown_frac,0.8,DONE,1625,1625,3.30553,,H20,NVIDIA_H20,1,1,1,1,1,1,0.5,0.8
